LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID6071 → ID6648,100,6071,6648,49.738907092726215,0.2537476418819188,0.7518282963494587,6.0146263707956695,556.0,352.05045181207294,47.04082971768568,0.0,
ID6274 → ID8734,100,6274,8734,0.08923664159900917,0.01582928801527112,0.15160228208483928,1.2128182566787142,652.0,344.4583188026614,46.269709442589814,0.0,
ID7505 → ID6951,100,7505,6951,1.4553505495041035,0.06819274282913561,0.31506419042931605,2.5205135234345284,1020.0,265.30286052921815,51.974156351657456,0.0,
ID7043 → ID6969,100,7043,6969,0.10431561711257435,0.025716822770971235,0.18507162654679907,1.4805730123743925,804.0,315.27660976999744,46.62910601911374,0.0,
ID10178 → ID9079,100,10178,9079,5.255140619162627,0.23858978998700914,0.037748469362328826,0.3019877548986306,1068.0,256.96981087112385,52.63185118436023,0.0,
ID6827 → ID6413,100,6827,6413,0.04390749863545167,0.004792572950441655,0.15114898202919633,1.2091918562335706,692.0,338.38940066494933,46.79185390072567,0.0,
ID7584 → ID8000,100,7584,8000,0.02253539429225628,0.010284409652420112,0.17313761282853374,1.38510090262827,916.0,299.6423628415893,46.64077198704878,0.0,
ID8470 → ID8201,100,8470,8201,0.4163753689772958,0.04588054769757993,0.24197499433634767,1.9357999546907814,1004.0,269.0192923360868,50.694049428009734,0.0,
ID5589 → ID7032,100,5589,7032,0.02024039453711058,0.008589106160547762,0.2052421744530621,1.6419373956244967,724.0,332.4383874607497,47.08333420416534,0.0,
ID2174 → ID3547,100,2174,3547,0.3880347417578651,0.002442809200567104,0.23800572470393364,1.904045797631469,444.0,378.44469153858483,48.120134046894066,0.0,
